Data;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;100;100;100;100
set/05;129,435;117,52;123,711;132,813;;0,99974265;0,997962977;0,999750928;0,999953087;;set/05;0,0028;-0,1780;0,0096;0,0210;;mar/19;0,032303617;1,080613196;0,031531587;-0,028281361;;163,8157655;165,2771069;149,9991178;152,3953741
out/05;129,724;94,894;126,626;133,134;;1,000022328;0,998074711;1,00023563;1,000024169;;out/05;-0,0035;-0,5857;0,0472;0,0238;;jun/19;-0,024967102;-0,471302553;0,022577331;0,009086332;;159,7257605;87,38158444;153,3856975;153,7800891
nov/05;130,293;103,458;125,834;133,722;;1,000043862;1,000902481;0,999937454;1,000044166;;nov/05;-0,0191;-0,3059;-0,0076;0,0021;;set/19;0,031380569;-0,120403199;0,064805621;0,027767928;;164,7380457;76,86056217;163,3259528;158,0502435
dez/05;130,379;117,745;118,569;136,518;;1,000006601;1,001380947;0,999422652;1,000209091;;dez/05;0,0073;0,0355;-0,0404;0,0277;;dez/19;-0,017326778;-0,045656984;-0,105832522;0,016560916;;161,8836662;73,35134074;146,0407554;160,6677003
jan/06;125,767;126,404;113,52;130,149;;0,999646262;1,000735403;0,999574172;0,999533468;;jan/06;-0,0303;0,3022;-0,1065;-0,0213;;mar/20;0,016116873;1,211209139;0,017404217;-0,051867938;;164,4927247;162,195155;148,5824804;152,334198
fev/06;124,27;169,395;107,299;128,258;;0,99988097;1,003401079;0,999451991;0,999854705;;fev/06;-0,0466;0,5526;-0,1550;-0,0403;;jun/20;-0,072919691;-0,49155239;-0,000326977;-0,047290387;;152,4979661;82,46773893;148,5338973;145,1302549
mar/06;134,495;217,597;119,54;133,454;;1,000822805;1,002845539;1,001140831;1,000405121;;mar/06;0,0350;0,6996;0,0166;-0,0207;;set/20;0,080677243;-0,162123036;0,15031155;0,07451653;;164,8010816;69,09781873;170,8602577;155,9448578
abr/06;129,608;191,271;112,926;132,124;;0,999636641;0,998790149;0,999446712;0,99990034;;abr/06;0,0340;0,5039;0,0039;0,0160;;dez/20;0,004809851;-0,043985531;-0,077114184;0,032019951;;165,5937503;66,05851446;157,6845083;160,9382045
mai/06;133,984;159,471;123,274;135,181;;1,000337633;0,998337437;1,000916352;1,000231374;;mai/06;0,0797;-0,0033;0,1504;0,0537;;mar/21;0,048161845;1,298184048;0,056094112;-0,036846023;;173,5690508;151,8146241;166,5296808;155,0082717
jun/06;132,81;162,168;119,869;135,324;;0,999912378;1,000169122;0,999723786;1,000010578;;jun/06;-0,0113;-0,2702;0,0086;0,0142;;jun/21;-0,045381715;-0,579041536;-0,006264066;0,01868146;;165,6921895;63,90765092;165,4865278;157,9040525
jul/06;135,779;203,417;123,487;135,45;;1,000223552;1,002543597;1,000301829;1,000009311;;jul/06;0,0474;0,1046;0,0942;0,0251;;set/21;0,016562372;-0,136051139;0,023139061;0,022297499;;168,4364451;55,21294224;169,3157306;161,424918
ago/06;138,803;165,455;130,313;139,038;;1,000222715;0,998133784;1,000552771;1,000264895;;ago/06;0,0359;0,0842;0,0578;0,0285;;dez/21;0,007308914;0,028607766;-0,089371561;0,041431762;;169,6675327;56,79246115;154,1837194;168,1130367
